symbol,Alpha,Beta,R Squared,R Squared Adj
00DS30,-5.9521280169340054e-05,0.9381182091831411,0.8572755784578137,0.8571489374449102
00DSEGEN,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
00DSES,-5.11041601857366e-05,0.8519318645390329,0.8193527419374658,0.819192451557641
00DSEX,8.893845946170154e-20,1.0000000000000007,1.0,1.0
01.Bank,0.00024407084255530446,1.4871869669721964,0.18941010427098193,0.18795743420695132
02.Cement,0.00020519600327913891,1.0491753813133522,0.025088668666444658,0.02334151574290777
03.Ceramics_Sector,0.006012506681208406,0.269362270548965,0.00035677681205081857,-0.0014346984983220068
04.Engineering,0.00367284123769341,0.5749483720965656,0.002193897789800392,0.0004057148109289921
05.Financial_Institutions,-9.34874657167643e-05,1.357181562510693,0.10254080858301584,0.10093245877760904
06.Food_&_Allied,0.006922563759207491,-0.0844690796797775,1.6141480905451644e-05,-0.0017759442870499687
07.Fuel_&_Power,0.0008908589970220971,0.37997653035450846,0.003170731367786672,0.0013842989867253186
08.Insurance,0.000486500441876529,0.7419272676066818,0.04257448712431722,0.040858670792998764
09.IT_Sector,0.0010293076054423455,1.1975908564436524,0.06118029380151824,0.059497821209764656
10.Jute,0.004446778749835098,0.18572223904233345,0.0002577896251340084,-0.0015338630816310594
11.Miscellaneous,0.05342954916583407,1.8854280880030703,0.000942957327583982,-0.0008474674800726945
12.Mutual_Funds,-5.2536169696604994e-05,0.6579565810517182,0.032273913428013445,0.030539637287203325
13.Paper_&_Printing,0.006172673025002198,0.33103661873163814,0.00030579086648607756,-0.001485775816548962
14.Pharmaceuticals_&_Chemicals,0.001918162995898567,0.6126548958896968,0.005319065257914701,0.0035364829375883478
15.Services_&_Real_Estate,0.003566399428088081,-0.1270384771452377,3.887425821724744e-05,-0.001753170769993817
16.Tannery_Industries,0.016786872752563273,1.8882826785013616,0.002094878349305551,0.00030651791623970137
17.Telecommunication,0.00940018071280185,-0.8987078444124371,0.0011806530412087346,-0.0006093457884666087
18.Textile,0.001196644480439682,0.5392774063512658,0.0033939126830349053,0.0016078802684883486
19.Travel_&_Leisure,0.001933824247643191,0.5998039346182105,0.003177410188103136,0.001390989776253737
1JANATAMF,-0.0002379411431851654,0.7722655293911102,0.06687745980959048,0.06616242338032574
1STBSRS,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
1STICB,0.00023382021967102096,0.12268027693961485,0.0056118690481823386,0.004849885806073595
1STPRIMFMF,0.0001402807012002418,1.2216216569460365,0.09974376680494113,0.09905391528525143
20.Bond,-0.00016172302231111607,-0.013554120740289674,3.4358414603086196e-05,-0.001757694706517876
2NDICB,-5.050894096127495e-05,0.14629636039758961,0.00640552530068994,0.005644150224291988
3RDICB,0.00021954983574235405,0.09778603224044866,0.0025711944485554694,0.0018068811875964208
4THICB,-8.230970796677551e-05,0.06291530890819484,0.0012946805321977228,0.0005293890996552753
5THICB,-4.273612718404757e-05,0.08092086811160966,0.0025385253081519066,0.0017741870133688442
6THICB,-0.0002687648016202509,0.19398426415450165,0.01852638572628429,0.017774298665538146
7THICB,0.00013354924966872236,0.23603423516312155,0.007304581074583649,0.00654389492981311
8THICB,-0.00020552476795261858,0.19200446666951873,0.007842424210062648,0.007082150205625859
AAMRANET,-0.001366222959574856,1.2616353609068325,0.11554110069856893,0.11360574205677154
AAMRATECH,-0.00016975449805808356,1.077186880877377,0.11582627154230618,0.1151487437810359
ABB1STMF,-0.00037854198377790894,0.8334533134850964,0.08013846956319526,0.07943359482722834
ABBANK,-0.0005780193127988387,1.5630000185595005,0.2415033201438035,0.24092209663433506
ACFL,-0.0026382380194606586,1.4568816311852268,0.09647478335069626,0.09283153650936837
ACI,0.00039905455118558424,0.6667708829396021,0.04516024120707951,0.04442856323099298
ACIFORMULA,0.0005201635540923563,0.680640479288939,0.041774640652784245,0.04104036834677105
ACIZCBOND,-1.632626914298492e-05,0.028240716168738307,0.0007306004909942709,-3.512318679055326e-05
ACMELAB,-0.0007024462104844449,0.5610579162819689,0.07420916457039162,0.07301613514329164
ACTIVEFINE,-0.0008214245657758401,1.1259643490789313,0.1354153160346354,0.13475279903542814
ADVENT,-0.0005037513335986716,0.6522451889303988,0.018550340921321684,0.015511797085164702
AFCAGRO,-0.00036719014733727854,1.210858266402836,0.13660623016302365,0.13594462574169264
AFTABAUTO,-0.00064132337283902,1.2993339909571864,0.23099876299190591,0.23040949001335564
AGNISYSL,0.00011863559607979383,1.4508750193757878,0.17285618616296206,0.1722223594856922
AGRANINS,0.00023577904995717236,1.1389695038774288,0.07246800359310512,0.07175725110543696
AIBL1STIMF,1.0754053681880378e-07,0.5453470246734394,0.02452500868211316,0.023777518267310116
AIL,-0.0011922768068418097,1.5012742312536578,0.11384611130460287,0.11160268373828541
AIMS1STMF,-0.0005614596667038605,0.3866343600258347,0.025053154956417578,0.02430606925140333
AL-HAJTEX,-0.00012048321732063228,1.0743420358334617,0.06162773549148859,0.060908676284968655
ALAMINCHEM,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
ALARABANK,0.00020087959613474777,1.0985865191148996,0.1833742209165803,0.18274845403605655
ALIF,-0.0014293783059196852,1.724423628651198,0.21029786946246287,0.2083334363019217
ALLTEX,0.0009380859830464305,1.1188657265582105,0.032162306118731276,0.031420668039128685
ALPHATOBA,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
AMAMSEAFD,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
AMANFEED,-0.0006854955570181681,1.020350648283588,0.06667720377102437,0.0657110311041208
AMBEEPHA,0.0006648591526842604,0.5120849938732979,0.01682357899155329,0.016070187098060185
AMCL(PRAN),-8.6971525621265e-05,0.5817671246723595,0.054592177243503515,0.053867726804609606
ANLIMAYARN,0.0003997936213954974,0.9078647778264388,0.05682376899382602,0.05610102858692467
ANWARGALV,0.0009001792530236778,0.559742483852525,0.020394487453581633,0.0196438318884119
APEXADELFT,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
APEXFOODS,0.0003948932349548316,0.6960467506432134,0.03162337207401822,0.030881321018136232
APEXFOOT,-0.000421293225052476,0.6093124979778762,0.061588678709578626,0.06086958957449018
APEXSPINN,0.0003156076580815065,0.5148205342727342,0.019977619018032078,0.01922664401344809
APEXTANRY,-0.00010499102469475374,0.8605025111304475,0.0716810481367075,0.07096969261803832
APEXWEAV,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
APOLOISPAT,-0.0009665085597308474,1.5289432102755847,0.19521365031650317,0.19459695579567282
ARAMIT,9.608907407299864e-05,0.6180898786035425,0.029817162133495945,0.029073727008693928
ARAMITCEM,-0.0007741472127065634,0.3695410349561455,0.010253044433995884,0.00949461764812154
ARAMITCEM ,-0.00015410991054153706,1.1711770571087268,0.07752485509773233,0.07670994772591055
ARGONDENIM,-0.0006273833714437394,1.0955035477731314,0.12165305026442508,0.12097998746769278
ASHRAFTEX,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
ASIAINS,0.000125197545902054,1.2372009378681363,0.10106566438555875,0.1003768258142066
ASIAPACINS,0.00012295983869362726,1.1098614843109356,0.07541336080215866,0.07470486529319476
ATCSLGF,0.00015769072820449482,0.6056658250498917,0.03905327019271598,0.03815266407293394
ATLASBANG,-0.00021734110394781232,0.8569948734237004,0.06328316734995587,0.06256537667359563
AZIZPIPES,0.0020225940279787634,0.18784559500518658,0.0007982525282305142,3.258069108735828e-05
AZIZPIPES ,0.0021958863939748486,0.5418107314426738,0.012450470814235115,0.011578077237215934
BANGAS,-9.782684489029258e-05,0.798446029803517,0.041227085309602174,0.04049239342095046
BANGLAPRO,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
BANKASIA,9.609759702289594e-05,1.1348451022641581,0.16568658553210192,0.1650472649079885
BARKAPOWER,-0.00012623066378473393,0.9103800695579762,0.10573307270339372,0.10489101344981888
BATASHOE,-5.75156047167785e-05,0.3525701914054388,0.036999099263963275,0.03626116753926123
BATBC,-0.0003277091758074894,0.3843610149905214,0.013190356585493612,0.012434180613528412
BAYLEASING,-0.00039848359998558453,1.6581212722954068,0.2200125901746769,0.219414898672895
BBS,-0.000364798563555919,1.159350638831133,0.13443582876001436,0.13370477793971036
BBSCABLES,0.000889513687100798,1.3241603111813018,0.09134264845123996,0.0895180352955195
BCIL,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
BDAUTOCA,0.0020887300169817485,1.0729120815899433,0.0376982721487652,0.0369608761887259
BDBUILDING,-0.000285549212094007,0.10300571535961218,0.008408734520935712,0.007648894470760115
BDCOM,5.9109618986101205e-05,0.9507463520097865,0.07916036796117176,0.07845474372206152
BDDYE,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
BDFINANCE,7.981412446330215e-05,1.7543719331417529,0.18808615771982184,0.1874640015188408
BDHOTELS,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
BDLAMPS,0.00034248569910937083,0.6899646922621216,0.04082533521766607,0.040090335474537775
BDLUGGAGE,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
BDONLINE,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
BDPLANT,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
BDSERVICE,-0.0005548259818105634,-0.004003235873133274,5.720132983055848e-06,-0.0007605590086774416
BDTHAI,-0.0002432426824477659,1.367541787198196,0.11974226636331042,0.11906773936435511
BDWELDING,0.0003676107639940162,1.194339796344956,0.058647603238770385,0.05792626040600313
BDZIPPER,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
BEACHHATCH,-0.00010793437459294843,1.2400738450987314,0.06145911536244686,0.0607399269451
BEACONPHAR,0.0005184437808526326,0.7993189022241964,0.07144493775588534,0.07073340130972117
BEDL,-0.0001349027054121398,0.27262432977162265,0.04021049247195996,0.0394750215849653
BEMCO,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
BENGALBISC,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
BENGALFINE,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
BENGALWTL,-0.000387807473681545,1.2251641523069214,0.12461884874553164,0.12394805859131364
BERGERPBL,0.0005089100955409599,0.22866471289969872,0.004093429527972869,0.0033302827306762595
BEXIMCO,-5.058369229286829e-05,1.7770511062543044,0.26741771171923234,0.2668563459810861
BEXTEX,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
BGIC,5.090577844117349e-05,1.1613507538644112,0.12391333281118067,0.12324200203172564
BIFC,-0.0008240636299489669,1.2096747783841728,0.07169824298834515,0.07098690064580748
BIONICFOOD,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
BLTC,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
BNICL,0.00028172111504733393,1.362463108430174,0.10240237175401812,0.10129010703500196
BOC,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
BPML,-0.001969176367942829,1.300970389205295,0.08536977613912722,0.08201948227883105
BRACBANK,0.0007426525891947005,0.9924948766372798,0.12073354769528599,0.12005978029888387
BRACSCBOND,-0.00018094380135459683,0.011522700209006791,4.151428485021924e-05,-0.0007247374283414487
BSC,-0.0007548765588698498,0.8163666458904669,0.028923680986451816,0.02817956120176701
BSCCL,-0.0003003992631467253,1.1284735999260616,0.10961047710311944,0.10892818628097622
BSRMLTD,-3.436008365555341e-05,1.1681762568308056,0.08116958919046258,0.08029367840799406
BSRMSTEEL,-7.07384981372295e-05,1.1440485823856652,0.17318301295470317,0.17254943671941936
BXFISHERY,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
BXPHARMA,0.00046100765876521836,1.2080076753672797,0.21912715248885417,0.21852878249076135
BXSYNTH,-0.0005393317298068444,1.4911627306737147,0.11659533728598392,0.11591839884712252
CAPMBDBLMF,-0.00045852519613682536,0.673431896278895,0.0312793921019332,0.029749027792457583
CAPMIBBLMF,0.0003586920025033178,0.5440054843172768,0.014248313283098613,0.011431879892478847
CENTRALINS,0.00010956146116590455,0.7898472177837366,0.0386822346555189,0.03794559268973763
CENTRALPHL,-0.0007526722450100909,1.6097767766895048,0.16156235757385673,0.16091987662180596
CHICTEX,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
CITYBANK,0.00039404902524687143,1.502955679333982,0.25985409550311767,0.2592869338904763
CITYGENINS,6.113192379941955e-05,1.3813341005434692,0.1433185785768788,0.14266211771755066
CMCKAMAL,0.0001130681307448846,0.7960448692818471,0.06440256569190872,0.06368563279205575
CNATEX,-0.001445780732731871,1.3498136261373381,0.10100305659858055,0.10019605754705319
CONFIDCEM,0.00013875272552970702,1.0255760273346415,0.11391032437317905,0.11323132845315842
CONTININS,0.0001644118415372107,1.31066414094527,0.11843254952823545,0.11775701891484713
COPPERTECH,-0.01939144017966534,3.9893783404911884,0.2815110362786253,0.21619385775850042
CTGVEG,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
CVOPRL,-0.0012175267637277846,0.9353555628776936,0.065781491296514,0.06506561504463393
DACCADYE,-0.0009556774001129605,1.179730065230191,0.07417131191671245,0.07346186464615045
DAFODILCOM,0.001262012629599989,0.9171850720723523,0.060063227944134656,0.059342969881256535
DANDYDYE,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
DBH,0.0004799528815172977,0.5209577356323555,0.03875503035287686,0.03801844416923916
DBH1STMF,0.00019151253402966786,0.520759032240883,0.03824919285458084,0.03751221905600188
DELTALIFE,-0.0005699941474379217,1.041750740033268,0.11632992183074109,0.11565278000838908
DELTASPINN,-0.001208181781195511,1.4757441598009682,0.13486870111556648,0.13420576525435235
DESCO,-0.00030096684027149545,0.8433521155331061,0.11078214657727137,0.1101007535861428
DESHBANDHU,-5.3984663299117234e-05,1.3841786451288842,0.126962852202266,0.1262938582192792
DHAKABANK,-0.00019124164018864936,1.3458810278553541,0.22231769688558878,0.22172177174910257
DHAKAFISH,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
DHAKAINS,0.0001856381533388154,1.2728200659705342,0.11678037579154266,0.11610357914463953
DOREENPWR,5.147583435321587e-05,0.8457799441428379,0.04469814068695788,0.04352886056539962
DS30,-1.0855458063357051e-05,0.9675443385853544,0.8428114762270675,0.8426910252509963
DSES,3.141981206490217e-05,0.8791925542968994,0.8078124683124598,0.8076651981732357
DSHGARME,0.00047813224445854936,0.693913088286625,0.02867138746987896,0.027927074356829062
DSSL,0.00027014468495891635,1.362074570256032,0.07106263385906153,0.06993937223132163
DULAMIACOT,0.0020354005065758977,0.4640518461587141,0.005762156245488703,0.005000288165983302
DUTCHBANGL,-2.630242582987732e-05,0.9651642288391814,0.07033164963538108,0.06961926009487174
DYNAMICTEX,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
EAGLESTAR,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
EASTERNINS,0.00022111283945146353,0.9420286253142722,0.05894824113962194,0.05822712868072499
EASTLAND,-0.0005223196675918625,0.4048137246742205,0.028908000314793014,0.028163868514267887
EASTLAND ,-0.00031756526263264015,0.9627766008446638,0.09568721105099709,0.094888348163233
EASTRNLUB,0.000761267578208596,0.29510192248916667,0.004864371510236665,0.004101815473079751
EBL,0.00023673652627794378,1.0185361704770475,0.15178178994767721,0.15113181430779032
EBL1STMF,-6.921297820807262e-05,0.7481097028183847,0.050035734354112016,0.04930779238809979
EBLNRBMF,-0.00021307424160791892,0.6654710490970019,0.0340867764750834,0.033346613085409094
ECABLES,0.0006840096964065639,0.749071604801622,0.03264499764772233,0.03190372944668607
EHL,3.701884126900243e-05,1.0717020357381242,0.12860969231290154,0.12794196027635962
EMERALDOIL,-0.0007022057028001759,1.1847943932714593,0.06157254624426123,0.06085344474713039
ENVOYTEX,-0.0003889361556134193,0.7157294534334153,0.08282080916001555,0.08211798985668983
ESQUIRENIT,-0.0014798433718385012,1.0572486611404184,0.1177823216141981,0.10752397651668877
ETL,-0.0006046619753443024,1.2476406621476037,0.08330153514761052,0.08208252123158344
EXCELSHOE,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
EXIM1STMF,-0.00013862683212331918,0.5503332333115665,0.0177672077015828,0.017014538895223863
EXIMBANK,-5.739580984698323e-05,1.3021272402082453,0.24985310022174934,0.24927827501119126
FAMILYTEX,-0.0018956167524361426,1.4173017650576238,0.1231876600550772,0.12251577320454465
FARCHEM,-0.0009683102232438682,1.5848970871286607,0.15507055635792688,0.1543886116899349
FAREASTFIN,-0.0006424079713123695,1.5004227764676537,0.12554622494645828,0.12487614542534442
FAREASTLIF,-0.00038788662172337655,0.8466656084945108,0.08926523793384378,0.08856735689011486
FASFIN,-0.0002264347318937496,1.6768699373563691,0.17392023214979613,0.17328722083343573
FBFIF,-0.0004707905135965655,0.6256960724306854,0.0259539025254224,0.025207507048430333
FEDERALINS,-0.00040661270061834875,1.3043687503039485,0.12873751413367474,0.12806988004488828
FEKDIL,-0.000694974199058671,1.3372555583726726,0.12981122846039894,0.1290908735170715
FIDELASSET,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
FINEFOODS,0.0009140789517596336,0.7389635132946111,0.0244338384970757,0.023686278220061863
FIRSTFIN,-0.0005291275104844963,1.2666292571576176,0.08682129281388695,0.08596384801840706
FIRSTSBANK,-8.082918344219657e-05,1.350323364332577,0.23955425361441196,0.23897153656737313
FLEASEINT,-0.0005989998208228291,0.34448674119860545,0.04529264444490477,0.04456106792723802
FORTUNE,-0.00043621805547077645,1.0695872573543872,0.07094278244553154,0.06959827127685647
FUWANGCER,-0.0002107302100266826,1.3413519272127303,0.13548347312315534,0.13482100835160216
FUWANGCER ,-0.00025792660754981553,0.00033253780471242727,2.399749153059183e-06,-0.0008809903570756727
FUWANGFOOD,-9.141238760524026e-05,1.2683742968222451,0.1226157136870677,0.12194338856345621
GACHIHATA,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
GBBPOWER,-0.00030591431677461366,1.4409496677412688,0.18830261606431475,0.187680625731797
GBJVFOOD,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
GEMINISEA,0.0009357351421740719,0.3342771399216879,0.0029078819475937268,0.002143826684718242
GENEXIL,0.003113831710274044,1.558085224619333,0.10452207398114377,0.09741510631432748
GENNEXT,-0.001004738122999547,1.414788067661253,0.17867977894476839,0.17805041479070305
GHAIL,3.358578381524145e-05,1.3586389566851533,0.13006450701874617,0.12939788978274513
GHCL,-0.00010652646620968863,0.9777169821831265,0.09828678441851701,0.09759581643722848
GLAXOSMITH,0.000151335009038057,0.3183478993884718,0.020866038775444573,0.020115744552283932
GLOBALINS,0.0002719831657513611,1.4252913366692963,0.10346830025873532,0.10278130278766917
GOLDENSON,-0.0012566015171097409,1.4586380609015082,0.1662125231110294,0.16557360550421785
GP,0.00021423785278514904,0.7036486544407476,0.13558049222210533,0.13491810179468933
GPHISPAT,-5.8933363983354334e-05,1.1134161721024773,0.10417736146430834,0.1034909073351622
GQBALLPEN,-0.00039533995823422355,1.0080532118748124,0.08296828583310634,0.08226557953872549
GRAMEEN1,-0.0006564298611126074,0.4059295595691171,0.034570442928550826,0.03383065016451137
GRAMEENS2,-0.0002045644946396527,0.8496235208838191,0.1274988075212915,0.12683022423203572
GREENDELMF,0.00019971938045281802,0.5607927863586073,0.0460799305554811,0.04534895732219024
GREENDELT,-0.00020391328196974487,0.7033370443749857,0.05520204065697443,0.0544780575463667
GSPFINANCE,-1.5090359046741695e-05,1.7009614710687317,0.18079492296766908,0.18016717961362128
GULFOODS,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
HAKKANIPUL,0.0007491257656778424,0.8903131461909386,0.03346620283443624,0.032725563909405064
HEIDELBCEM,-0.0006250180763608923,0.5853558153389825,0.0686572844352995,0.0679436118563227
HFL,-0.0006911980852592138,1.1956056287550554,0.11759946148490419,0.11682813234284561
HILLPLANT,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
HIMADRI,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
HRTEX,0.0004489966294868338,1.065885403378149,0.06640894167812372,0.06569354623113377
HWAWELLTEX,-8.815990312211084e-05,0.7700319213753745,0.07039010530675827,0.0696621414111489
IBBLPBOND,-0.0002486034393605309,0.048691128934502885,0.0012365458214367298,0.00047120984122317466
IBNSINA,0.000622909224245916,0.5680569127094209,0.03331806949102423,0.032577317053852584
IBP,-0.0016181796196377436,1.9938773474754699,0.14440248043892057,0.14012449284111528
ICB,-0.0010401865336419572,1.0685611962207737,0.04990532159245342,0.049177279693290554
ICB1STNRB,-9.970929611974251e-05,0.18299674112151168,0.003528293619631584,0.0027647137679990275
ICB2NDNRB,-7.073093424362198e-05,0.5449065349963543,0.05480280048405839,0.054078511442283705
ICB3RDNRB,0.0001192268456254851,0.7134068014600623,0.05452925424824817,0.05380475559249964
ICBAGRANI1,-0.0005485445890462716,0.3308401496839686,0.011019301850425434,0.008836121501309413
ICBAMCL1ST,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
ICBAMCL2ND,0.000326148083557807,0.619252718889731,0.032562608014654604,0.03182127667979984
ICBEPMF1S1,6.518731189471204e-05,0.6978055337001284,0.04289340312811141,0.04215998811135124
ICBIBANK,-0.00021099508273888934,0.8416523753780379,0.05784731736539339,0.05712536128674617
ICBISLAMIC,-0.00036083692058481136,0.08060186408159768,0.004397780189521638,0.003634866611122778
ICBSONALI1,-0.0001383300172593643,0.6362215438909198,0.03920586314523988,0.03846962242734342
IDLC,6.950866324390444e-05,1.186381183781946,0.17536807313530645,0.17473617127564
IFADAUTOS,0.00017408301600130795,0.8912707407150218,0.06134017236952116,0.060489166179466425
IFIC,-0.0006501263322066985,1.5714618505813134,0.24385265215355534,0.24327322889850056
